"#","Latin Input","Devanagari Target","Devanagari Predicted","Correct"
"1","ank","अंक","अंक","✅"
"2","anka","अंक","आंका","❌"
"3","ankit","अंकित","अंक्ति","❌"
"4","anakon","अंकों","आंकों","❌"
"5","ankhon","अंकों","आंखों","❌"
"6","ankon","अंकों","आंकों","❌"
"7","angkor","अंकोर","एंगॉकरस","❌"
"8","ankor","अंकोर","अंकोर","✅"
"9","angaarak","अंगारक","अंगारक","✅"
"10","angarak","अंगारक","अंगारक","✅"
"11","angraji","अंग्रज़ी","अंग्रजी","❌"
"12","angreji","अंग्रज़ी","अग्रेंजी","❌"
"13","angrzi","अंग्रज़ी","अंग्रजी","❌"
"14","antah","अंतः","अंठा","❌"
"15","antaha","अंतः","अंठाा","❌"
"16","antarmukh","अंतर्मुख","अंतरमुख","❌"
"17","antmurkh","अंतर्मुख","अंतमूर्ध","❌"
"18","antrmukh","अंतर्मुख","अंतरमुख","❌"
"19","andrabee","अंद्राबी","अंड्राबी","❌"
"20","andrabi","अंद्राबी","अंदरबी","❌"
"21","andha","अंधा","अंधा","✅"
"22","andhapan","अंधापन","अंधापन","✅"
"23","andheri","अंधेरी","अंधरी","❌"
"24","ambaani","अंबानी","अंबनी","❌"
"25","ambani","अंबानी","अंबनी","❌"
"26","akram","अकरम","अक्रम","❌"
"27","acapulco","अकापुल्को","अकाल्पॉक्स","❌"
"28","akapulko","अकापुल्को","अकापकोलोक","❌"
"29","akhand","अखंड","आखंड","❌"
"30","akhil","अखिल","अखिल","✅"
"31","agavai","अगवाई","अगवाई","✅"
"32","agvaai","अगवाई","अगवाई","✅"
"33","augustine","अगस्टाइन","ऑगस्टिनं","❌"
"34","augustustine","अगस्टाइन","अगस्तुस्तिन","❌"
"35","agsta","अगस्ता","अप्जताा","❌"
"36","agusta","अगस्ता","अगुस्ता","❌"
"37","augusta","अगस्ता","अगस्ता","✅"
"38","agr","अग्र","अग्र","✅"
"39","agra","अग्र","अग्र","✅"
"40","achambha","अचंभा","अचंभा","✅"
"41","achanbha","अचंभा","अचंभा","✅"
"42","achievement","अचीवमेंट","अचिवेंट","❌"
"43","achivement","अचीवमेंट","अचिवेंट","❌"
"44","acchi","अच्छी","अच्छी","✅"
"45","achchi","अच्छी","अच्छी","✅"
"46","achhi","अच्छी","अछी","❌"
"47","achyut","अच्युत","अछूत","❌"
"48","achhanera","अछनेरा","अच्हेनर","❌"
"49","achnera","अछनेरा","अचनेरा","❌"
"50","ajmeedh","अजमीढ़","अजमीदध","❌"
"51","ajhar","अजहर","अझर","❌"
"52","azhar","अजहर","अजहर","✅"
"53","ajit","अजित","अजीत","❌"
"54","agnat","अज्ञात","अग्नता","❌"
"55","agyaat","अज्ञात","अज्ञात","✅"
"56","agyat","अज्ञात","अज्ञात","✅"
"57","atakta","अटकता","अतक्ताा","❌"
"58","atkata","अटकता","आतकताा","❌"
"59","atake","अटके","अताके","❌"
"60","atke","अटके","अटके","✅"
"61","atwaal","अटवाल","अटवाल","✅"
"62","atwal","अटवाल","अटवल","❌"
"63","attahasa","अट्टहास","अत्तासा","❌"
"64","atthaas","अट्टहास","अठाास","❌"
"65","atthas","अट्टहास","अठादस","❌"
"66","addon","अड्डों","एड्डों","❌"
"67","athak","अथक","अथक","✅"
"68","atharv","अथर्व","अथर्व","✅"
"69","atharva","अथर्व","अथरवा","❌"
"70","adad","अदद","अदाद","❌"
"71","adaani","अदाणी","अदानी","❌"
"72","adani","अदाणी","अदानी","❌"
"73","advait","अद्वैत","अद्वैत","✅"
"74","adwait","अद्वैत","अद्वाइत","❌"
"75","advaitvaad","अद्वैतवाद","अद्वित्वाद","❌"
"76","advaitwad","अद्वैतवाद","अद्वित्वाद","❌"
"77","adhivas","अधिवास","अधिवास","✅"
"78","adhiwas","अधिवास","अधिवास","✅"
"79","advivas","अधिवास","अदविवास","❌"
"80","adhiik","अधीक","अधिक","❌"
"1","ank","अंक","आंक","❌"
"2","anka","अंक","अंका","❌"
"3","ankit","अंकित","अनकित","❌"
"4","anakon","अंकों","आनकों","❌"
"5","ankhon","अंकों","अंखों","❌"
"6","ankon","अंकों","आंकों","❌"
"7","angkor","अंकोर","अंगोकर","❌"
"8","ankor","अंकोर","अंकोर","✅"
"9","angaarak","अंगारक","अंगारक","✅"
"10","angarak","अंगारक","अंगारक","✅"
"11","angraji","अंग्रज़ी","अंग्रजी","❌"
"12","angreji","अंग्रज़ी","अग्रेजी","❌"
"13","angrzi","अंग्रज़ी","अंग्रजी","❌"
"14","antah","अंतः","अंतह","❌"
"15","antaha","अंतः","अंताा","❌"
"16","antarmukh","अंतर्मुख","अंतरमूख","❌"
"17","antmurkh","अंतर्मुख","अंतरूमख","❌"
"18","antrmukh","अंतर्मुख","अंतरमुख","❌"
"19","andrabee","अंद्राबी","अंद्रीबी","❌"
"20","andrabi","अंद्राबी","अंद्रबी","❌"
"21","andha","अंधा","अंधा","✅"
"22","andhapan","अंधापन","अंधपनं","❌"
"23","andheri","अंधेरी","अंधेरीी","❌"
"24","ambaani","अंबानी","अंबानी","✅"
"25","ambani","अंबानी","अंबनी","❌"
"26","akram","अकरम","अक्रम","❌"
"27","acapulco","अकापुल्को","अकापुल्कों","❌"
"28","akapulko","अकापुल्को","अकापुलों","❌"
"29","akhand","अखंड","आखंड","❌"
"30","akhil","अखिल","अखिल","✅"
"31","agavai","अगवाई","अगवाई","✅"
"32","agvaai","अगवाई","अग्वाई","❌"
"33","augustine","अगस्टाइन","अगस्तियें","❌"
"34","augustustine","अगस्टाइन","अगस्टसेशियन","❌"
"35","agsta","अगस्ता","अगसताा","❌"
"36","agusta","अगस्ता","अजुस्ता","❌"
"37","augusta","अगस्ता","अजस्टा","❌"
"38","agr","अग्र","अग्र","✅"
"39","agra","अग्र","अग्र","✅"
"40","achambha","अचंभा","अकंभाा","❌"
"41","achanbha","अचंभा","अकंभों","❌"
"42","achievement","अचीवमेंट","अचिविमेंट","❌"
"43","achivement","अचीवमेंट","अचिविमेंट","❌"
"44","acchi","अच्छी","अच्छी","✅"
"45","achchi","अच्छी","अच्छी","✅"
"46","achhi","अच्छी","अछ्चि","❌"
"47","achyut","अच्युत","अच्युत","✅"
"48","achhanera","अछनेरा","अच्छेनर","❌"
"49","achnera","अछनेरा","अचनेराा","❌"
"50","ajmeedh","अजमीढ़","अजमदह","❌"
"51","ajhar","अजहर","अजार","❌"
"52","azhar","अजहर","अजहर","✅"
"53","ajit","अजित","अजीत","❌"
"54","agnat","अज्ञात","अज्ञात","✅"
"55","agyaat","अज्ञात","अज्ञात","✅"
"56","agyat","अज्ञात","अज्ञात","✅"
"57","atakta","अटकता","अटकता","✅"
"58","atkata","अटकता","अकताता","❌"
"59","atake","अटके","अटके","✅"
"60","atke","अटके","आटके","❌"
"61","atwaal","अटवाल","अतवाल","❌"
"62","atwal","अटवाल","अतवाल","❌"
"63","attahasa","अट्टहास","अत्हासाा","❌"
"64","atthaas","अट्टहास","अथास","❌"
"65","atthas","अट्टहास","अथासस","❌"
"66","addon","अड्डों","एड्डों","❌"
"67","athak","अथक","अथक","✅"
"68","atharv","अथर्व","अथर्व","✅"
"69","atharva","अथर्व","अठरवा","❌"
"70","adad","अदद","अदाद","❌"
"71","adaani","अदाणी","अदानी","❌"
"72","adani","अदाणी","अदानी","❌"
"73","advait","अद्वैत","अद्वाइत","❌"
"74","adwait","अद्वैत","अद्वाइट","❌"
"75","advaitvaad","अद्वैतवाद","अद्वविद्वाद","❌"
"76","advaitwad","अद्वैतवाद","अद्वविद्वाद","❌"
"77","adhivas","अधिवास","अधिवास","✅"
"78","adhiwas","अधिवास","अधिवास","✅"
"79","advivas","अधिवास","अद्विवास","❌"
"80","adhiik","अधीक","अधिक","❌"
"1","ank","अंक","अंक","✅"
"2","anka","अंक","अंका","❌"
"3","ankit","अंकित","अंकीत","❌"
"4","anakon","अंकों","आनकों","❌"
"5","ankhon","अंकों","अंखों","❌"
"6","ankon","अंकों","अंकों","✅"
"7","angkor","अंकोर","अंगकोर","❌"
"8","ankor","अंकोर","अंकोर","✅"
"9","angaarak","अंगारक","अंगरक","❌"
"10","angarak","अंगारक","अंगरक","❌"
"11","angraji","अंग्रज़ी","अंग्रजी","❌"
"12","angreji","अंग्रज़ी","अंग्रेजी","❌"
"13","angrzi","अंग्रज़ी","अंग्रजी","❌"
"14","antah","अंतः","अंतः","✅"
"15","antaha","अंतः","अंतः","✅"
"16","antarmukh","अंतर्मुख","अंतरमुख","❌"
"17","antmurkh","अंतर्मुख","अंतरुख","❌"
"18","antrmukh","अंतर्मुख","अंतरमुख","❌"
"19","andrabee","अंद्राबी","अंद्राबी","✅"
"20","andrabi","अंद्राबी","अंद्राबी","✅"
"21","andha","अंधा","अंधा","✅"
"22","andhapan","अंधापन","अंधपन","❌"
"23","andheri","अंधेरी","अंधरी","❌"
